modele,date_loc,info
"['AudiA130 tfsi1.0prix initial : 24 490', '', '                              20 600 €  ']",,
"['VolkswagenPolo1.0LIFEprix initial : 22 990', '', '                              19 900 €  ']",,
"['VolkswagenPolo1.0LIFEprix initial : 22 990', '', '                              20 490 €  ']",,
"['NissanQashqai1.3VISIAprix initial : 22 650', '', '                              21 150 €  ']",,
"['SkodaFabia1.0ACTIVE', '', '                              17 490 €  ']",,
"['SmartForfourPASSIONprix initial : 15 990', '', '                              16 490 €  ']",,
"['MercedesClasse bB 180', '', '                              26 900 €  ']",,
"['MercedesClasse aA 1801.3', '', '                              25 900 €  ']",,
"['HyundaiKonaTRENDprix initial : 38 170', '', '                              24 850 €  ']",,
"['AudiA3 sportbackE-tron1.4prix initial : 31 990', '', '                              25 900 €  ']",,
"['VolkswagenTouran2.0prix initial : 22 900', '', '                              19 999 €  ']",,
"['SkodaKodiaq1.5', '', '                              33 890 €  ']",,
"['VolkswagenTouaregV6 3.0prix initial : 8 799', '', '                              7 899 €  ']",,
"['OpelGrandland x1.2GS LINEprix initial : 35 900', '', '                              34 480 €  ']",,
"['FiatTipo1.0', '', '                              18 990 €  ']",,
"['NissanQashqai1.3VISIAprix initial : 29 890', '', '                              23 950 €  ']", 11.02.2022 ALLEMAGNEDétail,ESSENCE120 Km2022MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['SubaruOutback2.0prix initial : 4 199', '', '                              2 999 €  ']",,
"['BmwSerie 5 touring520prix initial : 38 900', '', '                              34 590 €  ']",,
"['SkodaScala1.0', '', '                              23 950 €  ']",,
"['OpelAstra1.2ELEGANCEprix initial : 29 890', '', '                              24 850 €  ']",,
"['VolkswagenTouran2.0CONFORTLINEprix initial : 10 699', '', '                              8 999 €  ']",,
"['HondaJazzprix initial : 2 800', '', '                              2 400 €  ']",,
"['FordPuma1.0TITANIUM', '', '                              21 890 €  ']",,
"['FordFocus societe1.0COOL & CONNECT', '', '                              19 790 €  ']",,
"['OpelCrossland x1.2ELEGANCEprix initial : 32 700', '', '                              25 490 €  ']",,
