marque,modele,version,prix_initial,prix,date_loc,info
SEAT,,,22 900,22 500 €,06.10.2023 FRANCEDétail,ESSENCE12 800 Km2016AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
CITROEN,,,23 990,22 990 €,,
LAND,ROVER,,67 990,54 990 €,,
BMW,,,159 990,149 990 €,,
VOLKSWAGEN,,,18 400,17 000 €,,
CITROEN,,,,32 990 €,,
CITROEN,,,26 390,25 590 €,,
CITROEN,,,25 990,24 990 €,,
AUDI,,,,26 499 €,,
FIAT,,,7 000,5 500 €,,
MINI,,,,16 900 €,,
MERCEDES,,,,7 500 €,,
MERCEDES,,,38 990,37 990 €,,
AUDI,,,,23 990 €,,
CITROEN,,,,20 490 €,,
BMW,,,167 990,149 990 €,,
BMW,,,,28 000 €,,
PEUGEOT,,,13 990,12 990 €,,
CITROEN,,,5 300,4 900 €,,
FORD,,,9 990,8 990 €,,
MERCEDES,,,,43 800 €,,
LAND,ROVER,,35 990,33 490 €,,
CITROEN,,,,8 990 €,,
LAND,ROVER,,54 990,53 990 €,,
PEUGEOT,,,,4 500 €,,
MERCEDES,,,3 990,3 490 €,,
BMW,,,23 200,22 900 €,,
PEUGEOT,,,6 300,6 500 €,,
BMW,,,,22 900 €,,
MERCEDES,,,19 900,18 900 €,,
AUDI,,,17 900,16 900 €,,
VOLKSWAGEN,,,,29 900 €,,
RENAULT,,,,6 999 €,,
AUDI,,,,17 000 €,,
BMW,,,,14 900 €,,
VOLKSWAGEN,,,16 250,16 220 €,,
ALFA,ROMEO,,,3 300 €,,
MINI,,,,24 500 €,,
VOLKSWAGEN,,,,6 500 €,,
KIA,,,,2 200 €,,
CITROEN,,,,24 500 €,,
RENAULT,,,,8 500 €,,
CITROEN,,,,11 790 €,,
LAND,ROVER,,72 990,71 990 €,,
KIA,,,,10 200 €,,
BMW,,,,8 900 €,,
BMW,,,,12 490 €,,
CITROEN,,,,14 990 €,,
AUDI,,,,14 500 €,,
PORSCHE,,,,75 400 €,,
PORSCHE,,,,134 990 €,,
FORD,,,13 900,13 750 €,06.10.2023 FRANCEDétail,DIESEL7 300 Km2018AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
JAGUAR,,,,36 500 €,09.10.2023 FRANCEDétail,DIESEL170 000 Km2018AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
OPEL,,,,1 500 €,09.10.2023 FRANCEDétail,ESSENCE84 000 Km2017MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
PEUGEOT,,,,6 750 €,10.10.2023 FRANCEDétail,DIESEL182 700 Km2012MANUELLE67160DEVIS ASSURANCEVENDEZ
VOLKSWAGEN,,,,12 900 €,11.10.2023 FRANCEDétail,ESSENCE83 200 Km2010MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
SEAT,,,,13 900 €,16.10.2023 FRANCEDétail,ESSENCE71 000 Km2016MANUELLE67160DEVIS ASSURANCEVENDEZ
MERCEDES,,,,14 900 €,16.10.2023 FRANCEDétail,DIESEL179 820 Km2009MANUELLE67160DEVIS ASSURANCEVENDEZ
LAND,ROVER,,,11 500 €,19.10.2023 FRANCEDétail,HYBRIDE107 000 Km2016AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
TOYOTA,,,7 900,6 500 €,24.10.2023 FRANCEDétail,DIESEL290 000 Km2005MANUELLE67160DEVIS ASSURANCEVENDEZ
VOLKSWAGEN,,,,16 900 €,24.10.2023 FRANCEDétail,DIESEL78 000 Km2016MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
PEUGEOT,,,,21 900 €,24.10.2023 FRANCEDétail,DIESEL108 691 Km2014MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
ALPINE,,,,20 000 €,25.10.2023 FRANCEDétail,DIESEL274 000 Km2009MANUELLE67160DEVIS ASSURANCEVENDEZ
JAGUAR,,,,34 900 €,26.10.2023 FRANCEDétail,ESSENCE55 000 Km2019MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
TOYOTA,,,,6 900 €,27.10.2023 FRANCEDétail,ESSENCE18 140 Km2019MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
KIA,,,,12 000 €,27.10.2023 FRANCEDétail,DIESEL103 000 Km2015MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
KIA,,,,12 000 €,30.10.2023 FRANCEDétail,ESSENCE115 000 Km1997MANUELLE67160DEVIS ASSURANCEVENDEZ
OPEL,,,,23 500 €,30.10.2023 FRANCEDétail,ESSENCE123 000 Km1997MANUELLE67160DEVIS ASSURANCEVENDEZ
FORD,,,9 500,9 400 €,30.10.2023 FRANCEDétail,ESSENCE144 000 Km2004AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
MERCEDES,,,,6 700 €,31.10.2023 FRANCEDétail,ESSENCE18 140 Km2019MANUELLE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
MERCEDES,,,119 900,114 990 €,31.10.2023 FRANCEDétail,-36 959 Km2021AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
