Titre,motclé,prix2,date,upper,information,information7,information8
84 789 KM,"RENAULT
FLUENCE
2.0DYNAMIQUE",, 09/12/2022, PEROU,ESSENCE,2012,AUTOMATIQUE
96 400 KM,"KIA
CERATO
2.0EX",, 10/12/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
77 000 KM,"VOLKSWAGEN
JETTA
GLI2.0GL",, 10/12/2022, PEROU,ESSENCE,2014,AUTOMATIQUE
120 000 KM,"VOLKSWAGEN
AMAROK
2.0","

                              21 273 €  ", 10/12/2022, PEROU,DIESEL,2016,MANUELLE
41 000 KM,"SUZUKI
GRAND VITARA
1.6",, 10/12/2022, PEROU,ESSENCE,2016,MANUELLE
86 000 KM,"HYUNDAI
SANTA FE
2.4GLS4X2",, 10/12/2022, PEROU,ESSENCE,2017,MANUELLE
79 000 KM,"BMW
SERIE 1
1202.0",, 10/12/2022, PEROU,ESSENCE,2013,MANUELLE
72 500 KM,"SEAT
LEON
1.8FR","

                              8 600 €  ", 13/12/2022, PEROU,ESSENCE,2011,AUTOMATIQUE
180 000 KM,"VOLKSWAGEN
PASSAT
1.8",, 14/12/2022, PEROU,ESSENCE,2002,AUTOMATIQUE
62 500 KM,"CHEVROLET
CRUZE
1.8LS",, 14/12/2022, PEROU,ESSENCE,2013,AUTOMATIQUE
140 000 KM,"NISSAN
PRIMERA",, 14/12/2022, PEROU,ESSENCE,2007,AUTOMATIQUE
36 000 KM,"MAZDA
3
1.6GS",, 15/12/2022, PEROU,ESSENCE,2018,MANUELLE
60 000 KM,"TOYOTA
PRADO
2.7L","

                              31 503 €  ", 15/12/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
15 500 KM,"CHEVROLET
PRISMA
1.4LTZ",, 15/12/2022, PEROU,ESSENCE,2020,MANUELLE
105 500 KM,"SUBARU
FORESTER
2.0","

                              10 320 €  ", 15/12/2022, PEROU,ESSENCE,2010,AUTOMATIQUE
13 000 KM,"HYUNDAI
I20 ACTIVE
1.4ACTIVE",, 17/12/2022, PEROU,ESSENCE,2020,MANUELLE
13 600 KM,"MAZDA
2
1.5",, 17/12/2022, PEROU,ESSENCE,2022,MANUELLE
51 000 KM,"SUBARU
XV
2.0",, 17/12/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
75 000 KM,"TOYOTA
COROLLA
1.8",, 17/12/2022, PEROU,ESSENCE,2009,MANUELLE
141 814 KM,"AUDI
Q5
2.0QUATTRO",, 17/12/2022, PEROU,ESSENCE,2012,AUTOMATIQUE
